2	1	4
24	5	4
9	2	4
2	1	4
13	2	4
16	3	4
3	1	4
2	1	4
3	1	4
2	1	4
2	1	4
3	1	4
2	1	4
10	2	4
2	1	4
2	1	4
3	1	4
3	1	4
2	1	4
2	1	4
2	1	4
2	1	4
2	1	4
2	1	4
2	1	4
3	1	4
2	1	4
2	1	4
15	3	4
3	1	4
2	1	4
3	1	4
16	2	4
2	1	4
2	1	4
2	1	4
3	1	4
12	2	4
2	1	4
2	1	4
11	2	4
2	1	4
10	2	4
2	1	4
2	1	4
2	1	4
2	1	4
8	2	4
14	2	4
3	1	4
3	1	4
2	1	4
2	1	4
9	2	4
2	1	4
2	1	4
2	1	4
12	2	4
2	1	4
2	1	4
2	1	4
14	2	4
2	1	4
2	1	4
9	2	4
2	1	4
2	1	4
2	1	4
2	1	4
3	1	4
2	1	4
3	1	4
23	4	4
3	1	4
2	1	4
9	2	4
2	1	4
2	1	4
2	1	4
10	2	4
11	2	4
3	1	4
2	1	4
9	2	4
12	2	4
10	2	4
19	4	4
10	2	4
9	2	4
11	2	4
2	1	4
13	2	4
2	1	4
2	1	4
2	1	4
10	2	4
3	1	4
2	1	4
3	1	4
2	1	4
15	2	4
2	1	4
10	2	4
24	3	4
2	1	4
10	2	4
3	1	4
2	1	4
3	1	4
2	1	4
3	1	4
2	1	4
2	1	4
3	1	4
3	1	4
3	1	4
3	1	4
2	1	4
3	1	4
3	1	4
2	1	4
2	1	4
2	1	4
3	1	4
2	1	4
2	1	4
2	1	4
2	1	4
20	3	4
2	1	4
2	1	4
3	1	4
11	2	4
2	1	4
2	1	4
3	1	4
2	1	4
2	1	4
2	1	4
2	1	4
2	1	4
9	2	4
2	1	4
3	1	4
2	1	4
10	2	4
10	2	4
2	1	4
2	1	4
17	3	4
2	1	4
2	1	4
17	3	4
2	1	4
3	1	4
2	1	4
3	1	4
10	2	4
15	2	4
2	1	4
3	1	4
3	1	4
9	2	4
10	2	4
10	2	4
2	1	4
2	1	4
16	3	4
3	1	4
2	1	4
2	1	4
2	1	4
12	2	4
2	1	4
3	1	4
11	2	4
3	1	4
12	2	4
2	1	4
2	1	4
3	1	4
2	1	4
2	1	4
2	1	4
2	1	4
3	1	4
2	1	4
2	1	4
2	1	4
2	1	4
2	1	4
2	1	4
2	1	4
2	1	4
2	1	4
16	2	4
3	1	4
2	1	4
2	1	4
2	1	4
