GaleShapley FindAllRotations BuildGraph RecursiveSearch Total
127 115 426 166 834
132 110 413 33 688
121 120 426 60 727
112 120 443 64 739
123 113 438 68 742
144 95 413 78 730
135 109 442 48 734
120 122 435 44 721
134 99 428 70 731
128 112 429 26 695
119 115 448 44 726
133 114 417 89 753
117 126 432 51 726
126 109 431 49 715
126 117 423 26 692
123 114 466 103 806
129 108 423 109 769
117 122 436 49 724
142 103 408 83 736
128 114 430 93 765
127 109 423 64 723
118 125 435 75 753
129 108 418 51 706
122 116 436 50 724
119 119 444 43 725
118 120 434 65 737
119 120 442 52 733
131 114 417 70 732
134 105 410 37 686
140 96 425 40 701
118 125 434 87 764
121 127 416 38 702
138 106 415 109 768
111 127 454 79 771
118 129 431 160 838
126 110 434 86 756
130 121 417 109 777
119 122 427 70 738
122 120 430 139 811
119 117 441 88 765
126 112 440 108 786
124 118 430 116 788
134 103 421 44 702
110 166 469 74 819
133 116 427 80 756
127 109 421 30 687
122 117 425 48 712
137 107 416 51 711
127 114 428 51 720
126 125 415 60 726
134 110 408 47 699
