GaleShapley FindAllRotations BuildGraph RecursiveSearch Total
147 177 589 120 1033
204 112 529 70 915
158 164 571 103 996
177 137 620 62 996
171 146 559 67 943
175 138 574 37 924
178 140 560 42 920
171 146 575 84 976
166 155 622 71 1014
161 157 570 74 962
154 163 589 158 1064
162 163 566 66 957
165 157 578 57 957
153 163 583 86 985
161 157 575 63 956
152 165 579 61 957
169 154 630 156 1109
164 159 566 55 944
168 156 552 65 941
153 170 596 111 1030
165 159 569 89 982
161 153 582 189 1085
173 159 555 72 959
162 162 610 87 1021
160 152 588 104 1004
184 151 573 76 984
157 172 574 84 987
171 160 548 73 952
165 149 573 50 937
168 154 569 44 935
165 160 568 80 973
160 165 584 64 973
165 158 573 106 1002
165 154 575 101 995
165 152 577 78 972
223 154 583 96 1056
172 152 553 50 927
163 149 627 83 1022
161 148 584 70 963
166 159 564 63 952
171 148 570 110 999
176 140 571 62 949
170 153 556 147 1026
162 150 609 100 1021
169 150 564 76 959
168 156 573 58 955
156 159 573 86 974
168 153 591 67 979
163 163 572 73 971
165 148 581 87 981
164 148 578 62 952
