GaleShapley FindAllRotations BuildGraph RecursiveSearch Total
68 44 191 28 331
64 48 203 30 345
59 51 208 42 360
64 49 200 12 325
63 49 207 39 358
59 50 208 54 371
60 52 212 25 349
62 49 200 15 326
64 49 205 37 355
63 48 199 16 326
61 50 204 18 333
66 50 191 18 325
76 37 191 15 319
65 47 202 36 350
63 50 207 23 343
57 54 205 29 345
59 49 216 23 347
69 46 193 17 325
61 48 210 16 335
60 51 200 82 393
59 49 209 35 352
58 56 208 26 348
54 60 209 29 352
59 52 208 32 351
69 47 192 22 330
66 53 192 33 344
60 50 204 15 329
61 51 202 28 342
60 49 203 32 344
66 49 204 34 353
59 54 205 23 341
69 46 201 32 348
64 47 204 19 334
59 50 208 23 340
63 51 197 17 328
61 53 198 19 331
61 52 207 30 350
58 53 218 74 403
64 48 211 27 350
66 47 199 14 326
59 52 201 19 331
65 47 206 23 341
68 45 190 30 333
59 51 211 24 345
62 51 203 29 345
58 55 209 21 343
62 53 198 20 333
59 52 213 24 348
67 45 199 40 351
60 53 206 28 347
56 54 212 22 344
