GaleShapley FindAllRotations BuildGraph RecursiveSearch Total
274 282 892 199 1647
269 250 940 171 1630
276 267 906 93 1542
279 252 929 200 1660
270 255 921 120 1566
267 241 954 159 1621
284 253 906 171 1614
297 236 892 65 1490
283 239 905 173 1600
251 272 958 100 1581
268 257 910 160 1595
253 270 942 133 1598
264 263 926 120 1573
252 276 926 79 1533
272 255 956 105 1588
277 255 926 129 1587
252 268 993 238 1751
265 260 961 115 1601
289 241 929 265 1724
267 254 950 127 1598
277 268 933 117 1595
275 270 914 163 1622
261 276 931 140 1608
254 273 932 142 1601
255 276 924 193 1648
292 237 895 102 1526
299 223 926 112 1560
267 241 944 110 1562
295 226 908 149 1578
270 253 928 93 1544
282 230 921 86 1519
293 256 888 187 1624
265 262 924 106 1557
284 253 892 138 1567
299 224 900 140 1563
278 256 927 166 1627
253 270 946 276 1745
282 234 925 103 1544
263 259 953 72 1547
273 245 933 113 1564
285 235 900 88 1508
270 252 933 160 1615
254 277 941 229 1701
292 248 889 146 1575
249 283 952 90 1574
279 249 916 75 1519
270 256 954 96 1576
276 246 923 88 1533
243 286 978 232 1739
254 275 943 118 1590
276 251 930 136 1593
