GaleShapley FindAllRotations BuildGraph RecursiveSearch Total
19 18 65 20 122
25 12 61 5 103
22 16 60 6 104
19 19 62 6 106
20 18 63 7 108
20 18 61 8 107
22 15 61 6 104
21 15 64 7 107
22 15 63 24 124
20 18 62 12 112
22 15 61 4 102
21 16 62 15 114
22 16 61 5 104
21 16 62 8 107
22 16 64 7 109
22 15 62 5 104
22 16 61 4 103
23 15 58 18 114
22 17 60 13 112
22 16 59 7 104
21 15 63 3 102
22 16 59 12 109
21 17 61 14 113
19 18 65 8 110
22 15 62 6 105
22 17 59 7 105
24 14 61 4 103
22 15 61 5 103
21 16 62 6 105
21 16 62 11 110
23 14 62 8 107
21 17 63 7 108
20 16 64 10 110
22 17 65 9 113
25 13 58 4 100
20 17 66 10 113
20 17 63 9 109
23 15 60 4 102
20 17 62 6 105
24 15 58 9 106
22 15 60 11 108
23 13 61 18 115
23 15 61 8 107
20 16 64 8 108
21 17 60 11 109
21 16 60 5 102
19 19 63 6 107
19 18 67 9 113
21 16 62 5 104
25 14 62 5 106
20 17 61 8 106
