GaleShapley FindAllRotations BuildGraph RecursiveSearch Total
217 199 730 86 1232
209 210 726 83 1228
201 217 746 113 1277
241 190 685 53 1169
214 195 754 207 1370
213 216 740 84 1253
211 216 729 72 1228
221 187 725 134 1267
201 219 769 106 1295
212 217 733 62 1224
201 211 731 78 1221
204 202 764 115 1285
201 209 776 140 1326
210 201 732 77 1220
233 174 741 65 1213
212 208 740 95 1255
198 212 754 103 1267
224 209 703 73 1209
213 205 733 161 1312
201 219 739 120 1279
215 216 733 59 1223
215 190 765 136 1306
201 213 765 140 1319
219 195 743 175 1332
220 210 721 115 1266
205 217 727 714 1863
206 220 736 272 1434
210 203 742 88 1243
218 210 714 59 1201
215 197 742 68 1222
210 218 745 87 1260
197 235 762 135 1329
188 234 765 94 1281
243 171 722 65 1201
185 242 760 77 1264
217 199 729 68 1213
221 180 750 85 1236
236 168 742 75 1221
212 213 732 95 1252
209 204 742 190 1345
223 185 742 121 1271
207 213 735 101 1256
223 208 726 85 1242
191 222 777 170 1360
229 191 722 95 1237
226 201 711 104 1242
194 229 767 105 1295
217 210 722 134 1283
202 205 768 157 1332
224 209 713 92 1238
211 216 731 148 1306
