GaleShapley FindAllRotations BuildGraph RecursiveSearch Total
9 8 21 6 44
9 7 23 3 42
10 6 21 3 40
10 6 21 6 43
11 6 20 2 39
10 6 21 3 40
9 7 23 3 42
9 7 22 2 40
11 5 22 3 41
9 7 22 5 43
9 6 21 4 40
9 8 23 3 43
10 7 21 3 41
8 8 22 2 40
9 7 22 2 40
9 7 24 3 43
9 7 21 3 40
9 7 21 2 39
10 7 21 2 40
10 5 22 3 40
10 6 20 6 42
8 7 23 3 41
8 7 23 3 41
10 7 21 4 42
10 6 22 4 42
9 7 21 2 39
9 7 23 3 42
9 6 23 2 40
11 6 20 1 38
9 7 20 2 38
9 6 23 4 42
8 8 24 4 44
9 8 22 2 41
8 8 23 6 45
10 6 23 2 41
8 7 23 4 42
11 6 19 3 39
10 6 21 2 39
8 8 22 3 41
10 5 22 4 41
11 5 20 1 37
8 7 23 6 44
9 7 22 4 42
11 6 20 4 41
10 6 21 2 39
10 6 21 2 39
10 6 22 2 40
10 6 22 3 41
8 8 22 5 43
11 6 20 3 40
9 7 22 5 43
