GaleShapley FindAllRotations BuildGraph RecursiveSearch Total
90 77 303 56 526
95 75 299 14 483
93 77 301 32 503
91 82 297 50 520
97 74 296 30 497
94 73 299 33 499
96 74 296 50 516
85 85 310 35 515
98 75 288 28 489
93 77 291 18 479
93 76 295 42 506
95 72 304 33 504
87 85 309 32 513
92 78 290 26 486
92 77 301 96 566
95 75 290 32 492
86 83 315 36 520
98 72 291 32 493
87 84 303 47 521
92 78 298 38 506
87 81 324 36 528
92 76 306 29 503
96 76 290 22 484
83 82 311 30 506
86 78 306 35 505
88 82 309 26 505
82 85 312 29 508
83 84 316 46 529
93 74 300 33 500
99 76 289 61 525
103 67 285 21 476
86 83 306 58 533
89 80 301 53 523
89 82 310 37 518
85 86 305 27 503
105 70 286 27 488
92 77 304 35 508
86 80 308 54 528
86 80 310 50 526
86 91 310 48 535
90 81 306 54 531
89 78 305 65 537
87 81 300 37 505
91 78 306 39 514
86 82 305 29 502
87 82 302 38 509
83 86 313 46 528
92 76 297 60 525
94 81 289 20 484
91 77 307 26 501
87 78 305 31 501
