GaleShapley FindAllRotations Overhead Kernel KernelOverhead RecursiveSearch Total
70 45 95 317 412 22 549
64 48 12 41 53 22 187
60 50 12 39 51 35 196
64 50 12 37 49 8 171
64 49 11 42 53 30 196
61 50 12 41 53 42 206
61 52 11 45 56 16 185
64 49 11 40 51 10 174
64 49 12 43 55 28 196
65 49 12 42 54 11 179
63 51 11 46 57 12 183
69 50 11 39 50 14 183
78 38 12 35 47 11 174
65 47 11 42 53 28 193
64 50 12 43 55 16 185
58 54 12 44 56 19 187
60 51 12 44 56 15 182
70 45 12 37 49 13 177
62 48 11 46 57 10 177
62 51 13 62 75 72 260
60 50 13 67 80 27 217
57 55 13 76 89 17 218
56 57 13 76 89 18 220
61 52 14 70 84 24 221
69 47 14 62 76 16 208
66 54 14 64 78 25 223
62 50 14 68 82 10 204
63 51 13 76 89 22 225
63 49 19 117 136 25 273
66 50 14 69 83 26 225
59 54 14 84 98 15 226
71 45 13 61 74 26 216
66 47 14 65 79 14 206
61 51 14 65 79 17 208
66 50 13 70 83 12 211
63 53 13 69 82 11 209
62 53 14 69 83 23 221
58 54 14 75 89 55 256
63 48 20 166 186 19 316
68 47 13 57 70 9 194
61 53 13 64 77 13 204
67 47 13 59 72 16 202
71 44 12 51 63 26 204
59 51 13 63 76 17 203
63 51 14 69 83 22 219
58 54 13 84 97 13 222
62 53 13 68 81 14 210
61 52 13 68 81 18 212
70 45 13 60 73 33 221
61 53 14 65 79 19 212
58 55 13 78 91 13 217
