GaleShapley FindAllRotations Overhead Kernel KernelOverhead RecursiveSearch Total
19 18 75 285 360 15 412
27 12 6 17 23 3 65
22 15 6 15 21 5 63
19 19 6 20 26 4 68
20 17 6 18 24 5 66
21 17 5 18 23 5 66
22 15 6 17 23 4 64
21 16 6 19 25 5 67
22 15 6 17 23 19 79
21 17 5 21 26 10 74
22 15 6 17 23 3 63
21 16 6 16 22 12 71
22 15 5 18 23 3 63
22 16 6 16 22 6 66
22 16 6 17 23 5 66
22 15 6 17 23 4 64
23 15 5 18 23 2 63
24 14 5 17 22 16 76
22 17 5 21 26 10 75
22 15 6 19 25 4 66
22 15 6 19 25 2 64
23 15 6 17 23 9 70
21 17 6 21 27 10 75
19 18 6 19 25 6 68
22 15 6 18 24 4 65
23 16 6 18 24 5 68
25 14 6 17 23 2 64
23 16 6 20 26 3 68
21 16 5 17 22 5 64
22 15 6 18 24 9 70
23 14 6 17 23 6 66
21 17 6 20 26 4 68
20 16 6 19 25 7 68
23 16 5 17 22 6 67
25 13 5 15 20 2 60
20 17 5 23 28 7 72
20 17 5 20 25 6 68
24 15 6 17 23 2 64
20 17 6 17 23 4 64
25 15 5 18 23 7 70
23 15 6 17 23 8 69
23 13 6 16 22 15 73
23 15 6 17 23 5 66
20 16 6 20 26 5 67
21 16 6 16 22 9 68
22 15 5 18 23 2 62
20 18 6 18 24 4 66
19 18 6 22 28 5 70
21 15 6 17 23 3 62
25 14 6 17 23 3 65
20 16 6 19 25 5 66
