GaleShapley FindAllRotations Overhead Kernel KernelOverhead RecursiveSearch Total
131 115 99 348 447 132 825
141 109 21 65 86 23 359
126 120 22 68 90 40 376
115 122 21 74 95 40 372
126 113 21 74 95 47 381
148 96 20 62 82 67 393
138 109 21 77 98 30 375
124 122 21 73 94 29 369
140 99 20 70 90 52 381
134 111 20 70 90 16 351
126 116 20 72 92 23 357
134 113 21 95 116 66 429
120 128 21 91 112 35 395
131 109 21 70 91 33 364
132 116 22 70 92 16 356
129 113 21 83 104 76 422
134 108 21 67 88 93 423
122 122 21 71 92 33 369
148 104 21 67 88 67 407
133 115 21 70 91 73 412
131 110 20 65 85 48 374
121 125 21 79 100 53 399
134 108 21 75 96 37 375
125 116 21 69 90 34 365
125 120 21 72 93 28 366
124 121 22 118 140 42 427
124 121 22 77 99 37 381
135 114 21 71 92 53 394
139 106 21 67 88 26 359
144 97 20 68 88 28 357
122 122 21 73 94 52 390
126 125 21 80 101 23 375
142 105 20 70 90 86 423
114 127 22 74 96 56 393
121 128 22 80 102 119 470
130 112 21 70 91 61 394
135 118 21 67 88 77 418
122 122 22 73 95 51 390
127 118 22 75 97 105 447
124 117 21 72 93 64 398
129 110 20 71 91 88 418
130 117 21 77 98 82 427
139 102 21 68 89 32 362
113 126 22 81 103 40 382
133 115 22 65 87 59 394
132 108 20 72 92 19 351
128 118 21 70 91 33 370
140 107 20 65 85 39 371
132 115 21 75 96 31 374
128 122 22 80 102 41 393
139 111 22 64 86 34 370
