GaleShapley FindAllRotations Overhead Kernel KernelOverhead RecursiveSearch Total
36 31 88 305 393 7 467
45 24 9 23 32 5 106
43 31 9 27 36 8 118
39 29 8 26 34 20 122
41 27 8 25 33 11 112
36 32 9 27 36 9 113
40 29 9 23 32 13 114
38 34 8 27 35 13 120
37 30 9 27 36 7 110
41 30 9 26 35 19 125
43 26 8 26 34 21 124
39 30 8 26 34 30 133
36 33 9 29 38 17 124
36 32 9 29 38 13 119
40 28 8 26 34 15 117
41 28 8 26 34 12 115
39 31 8 25 33 9 112
37 31 8 27 35 12 115
38 31 9 27 36 26 131
35 34 9 31 40 11 120
34 36 9 32 41 19 130
37 33 9 27 36 17 123
38 30 9 27 36 5 109
37 32 8 32 40 7 116
38 30 8 28 36 14 118
36 33 9 30 39 11 119
43 28 9 24 33 9 113
36 33 9 33 42 16 127
41 30 9 26 35 11 117
36 30 9 27 36 14 116
38 31 9 27 36 12 117
47 26 8 23 31 8 112
43 28 9 42 51 6 128
39 32 10 46 56 16 143
45 26 9 43 52 6 129
38 31 9 54 63 8 140
37 31 10 103 113 9 190
39 31 9 55 64 18 152
43 28 9 49 58 13 142
43 30 10 43 53 15 141
40 31 10 47 57 14 142
39 31 9 54 63 12 145
38 31 10 51 61 8 138
39 30 10 47 57 10 136
42 28 10 105 115 12 197
38 31 10 49 59 13 141
40 31 10 47 57 14 142
47 26 9 41 50 8 131
44 29 10 45 55 14 142
35 32 10 50 60 11 138
43 29 10 42 52 10 134
