GaleShapley FindAllRotations Overhead Kernel KernelOverhead RecursiveSearch Total
224 197 112 395 507 60 988
219 210 33 109 142 59 630
211 216 32 120 152 74 653
251 189 32 105 137 38 615
224 192 32 117 149 163 728
215 212 32 113 145 51 623
222 212 32 109 141 46 621
231 190 32 106 138 104 663
209 218 36 162 198 67 692
223 199 33 106 139 42 603
208 210 33 109 142 51 611
211 202 32 106 138 62 613
211 210 33 118 151 87 659
219 199 33 105 138 49 605
242 175 32 105 137 51 605
222 206 34 116 150 59 637
208 215 33 113 146 62 631
233 207 32 114 146 53 639
222 204 33 106 139 112 677
209 218 32 121 153 75 655
223 211 33 111 144 39 617
226 186 35 175 210 95 717
206 207 34 110 144 97 654
227 191 32 110 142 126 686
228 204 33 112 145 88 665
214 215 34 104 138 407 974
215 218 32 106 138 226 797
217 203 35 113 148 102 670
227 210 33 105 138 39 614
224 198 32 110 142 47 611
218 221 35 158 193 60 692
201 229 33 128 161 95 686
197 233 33 122 155 59 644
253 173 32 98 130 45 601
194 239 33 125 158 37 628
232 198 33 110 143 44 617
230 180 33 107 140 62 612
245 168 32 108 140 61 614
221 214 33 109 142 68 645
221 202 34 103 137 142 702
237 187 33 102 135 96 655
217 214 35 110 145 69 645
226 206 33 110 143 65 640
200 221 34 119 153 81 655
235 190 34 96 130 67 622
234 201 35 153 188 83 706
204 231 34 111 145 59 639
225 209 32 101 133 93 660
211 206 33 117 150 91 658
235 209 34 135 169 65 678
217 214 34 124 158 106 695
