GaleShapley FindAllRotations Overhead Kernel KernelOverhead RecursiveSearch Total
283 272 119 384 503 134 1192
279 249 39 125 164 116 808
283 258 40 138 178 55 774
291 244 39 127 166 144 845
279 249 38 124 162 83 773
279 241 40 133 173 88 781
291 252 39 123 162 105 810
308 233 39 115 154 43 738
295 236 39 127 166 136 833
261 269 40 138 178 54 762
281 256 40 119 159 110 806
264 268 39 136 175 80 787
277 263 39 134 173 80 793
264 275 39 128 167 44 750
279 246 39 129 168 68 761
285 247 39 126 165 81 778
261 263 39 137 176 149 849
276 250 39 130 169 74 769
295 235 39 124 163 211 904
276 247 39 129 168 84 775
273 257 39 123 162 78 770
283 264 39 129 168 121 836
269 273 39 137 176 80 798
265 269 39 127 166 88 788
267 274 40 129 169 134 844
304 236 41 114 155 92 787
303 218 39 121 160 83 764
277 237 40 131 171 73 758
306 224 44 111 155 119 804
346 316 45 122 167 85 914
295 245 41 120 161 58 759
304 317 42 124 166 137 924
305 265 39 128 167 72 809
303 252 40 118 158 99 812
313 223 39 109 148 102 786
287 255 39 131 170 102 814
270 271 40 134 174 182 897
297 235 40 121 161 72 765
275 258 40 137 177 41 751
284 243 40 121 161 80 768
300 236 39 110 149 59 744
286 256 40 118 158 97 797
266 270 39 133 172 150 858
306 244 40 111 151 116 817
265 284 39 136 175 52 776
295 247 40 115 155 49 746
284 252 39 127 166 59 761
294 246 41 130 171 61 772
256 285 40 135 175 155 871
261 271 39 129 168 73 773
288 253 40 119 159 92 792
