GaleShapley FindAllRotations Overhead Kernel KernelOverhead RecursiveSearch Total
93 77 94 330 424 43 637
97 75 16 50 66 10 248
96 78 15 52 67 22 263
93 83 17 52 69 33 278
99 74 16 50 66 21 260
96 73 17 52 69 22 260
99 73 16 55 71 37 280
86 84 16 65 81 25 276
101 74 17 56 73 21 269
96 78 16 62 78 13 265
95 76 16 53 69 33 273
95 72 16 54 70 25 262
86 85 17 58 75 20 266
94 79 16 62 78 19 270
95 77 17 75 92 82 346
99 74 18 76 94 24 291
89 83 18 105 123 20 315
102 73 17 69 86 23 284
91 83 18 63 81 34 289
95 78 17 64 81 29 283
89 81 17 78 95 22 287
94 77 18 96 114 21 306
100 75 17 58 75 16 266
86 82 18 67 85 21 274
88 79 17 72 89 23 279
91 82 17 70 87 19 279
83 85 19 69 88 29 285
84 84 17 67 84 33 285
95 76 17 65 82 27 280
100 76 17 62 79 50 305
106 67 18 76 94 16 283
89 83 19 87 106 40 318
93 79 19 77 96 41 309
90 82 17 73 90 23 285
87 85 17 68 85 17 274
110 70 17 64 81 21 282
95 77 17 66 83 26 281
89 81 18 70 88 37 295
88 81 17 63 80 37 286
89 90 17 74 91 33 303
93 81 17 65 82 39 295
93 78 18 60 78 46 295
90 81 17 63 80 27 278
95 79 18 89 107 27 308
88 82 17 77 94 20 284
91 81 18 71 89 28 289
86 86 17 66 83 30 285
94 76 17 64 81 41 292
98 81 17 65 82 14 275
91 78 17 74 91 17 277
89 78 18 85 103 24 294
