GaleShapley FindAllRotations Overhead Kernel KernelOverhead RecursiveSearch Total
152 177 100 368 468 71 868
209 113 25 69 94 59 475
169 167 26 92 118 72 526
184 139 26 84 110 39 472
179 150 26 91 117 44 490
181 139 26 78 104 25 449
187 140 26 76 102 29 458
176 147 26 88 114 59 496
173 156 26 85 111 51 491
167 158 27 82 109 48 482
160 168 27 89 116 101 545
171 166 27 87 114 47 498
170 155 27 86 113 37 475
161 163 26 92 118 58 500
169 157 27 81 108 39 473
159 165 28 93 121 40 485
175 151 29 105 134 120 580
173 165 27 84 111 35 484
176 159 26 82 108 39 482
157 170 28 115 143 73 543
172 159 27 87 114 66 511
169 158 26 90 116 122 565
177 155 27 75 102 47 481
169 163 26 89 115 62 509
166 156 26 92 118 68 508
190 149 26 81 107 55 501
164 171 27 95 122 58 515
179 155 26 79 105 50 489
173 150 27 83 110 35 468
175 152 27 100 127 28 482
172 161 28 88 116 57 506
161 166 27 92 119 43 489
174 162 27 85 112 74 522
172 155 26 92 118 55 500
173 154 27 81 108 53 488
174 159 27 84 111 61 505
177 153 27 87 114 33 477
173 152 26 85 111 56 492
169 149 28 86 114 48 480
173 159 29 111 140 43 515
177 147 27 79 106 72 502
179 141 26 80 106 45 471
177 153 27 82 109 107 546
169 154 27 87 114 64 501
177 150 27 81 108 59 494
173 157 27 82 109 38 477
161 160 27 90 117 57 495
174 153 28 126 154 46 527
169 160 27 80 107 52 488
173 150 27 83 110 63 496
170 149 26 86 112 45 476
