GaleShapley FindAllRotations Overhead Kernel KernelOverhead RecursiveSearch Total
9 7 75 268 343 4 363
9 7 3 7 10 3 29
10 6 4 7 11 1 28
10 6 3 8 11 4 31
10 6 3 8 11 2 29
10 5 3 7 10 2 27
8 7 3 10 13 2 30
9 6 3 7 10 2 27
10 5 3 7 10 2 27
9 7 4 8 12 3 31
9 6 4 7 11 2 28
9 7 3 9 12 2 30
10 6 4 9 13 2 31
8 8 3 9 12 1 29
9 7 4 8 12 1 29
9 7 3 9 12 2 30
9 6 4 9 13 2 30
9 6 4 8 12 1 28
9 7 3 8 11 1 28
10 5 4 8 12 1 28
10 6 4 7 11 5 32
8 7 4 8 12 2 29
8 7 3 9 12 2 29
9 7 4 8 12 2 30
9 6 3 9 12 3 30
10 6 4 7 11 1 28
9 6 3 8 11 1 27
9 6 3 8 11 1 27
11 6 4 7 11 1 29
9 6 4 7 11 1 27
9 6 3 9 12 2 29
8 8 4 8 12 3 31
8 7 4 8 12 1 28
8 7 4 8 12 5 32
9 6 3 8 11 1 27
8 7 4 11 15 2 32
11 6 3 7 10 1 28
9 6 3 8 11 1 27
8 7 4 9 13 1 29
10 5 3 7 10 3 28
10 5 4 7 11 1 27
8 7 3 10 13 3 31
9 6 3 9 12 3 30
10 6 3 9 12 3 31
10 6 4 7 11 1 28
10 6 3 9 12 1 29
9 6 3 9 12 1 28
10 6 4 9 13 2 31
9 7 4 11 15 2 33
10 5 4 7 11 1 27
9 6 4 8 12 3 30
