GaleShapley FindAllRotations BuildGraph RecursiveSearch Total
125 113 421 163 822
133 107 412 34 686
120 118 422 60 720
113 120 444 65 742
120 111 432 69 732
141 93 406 79 719
132 107 407 45 691
117 120 422 45 704
134 97 424 70 725
126 111 430 27 694
124 114 437 38 713
130 112 413 87 742
124 125 431 49 729
127 107 423 48 705
126 116 420 26 688
122 113 425 99 759
129 106 418 108 761
119 119 430 49 717
141 102 399 85 727
127 114 414 92 747
126 109 421 64 720
116 125 432 74 747
129 107 410 50 696
122 115 434 51 722
122 118 430 43 713
119 120 431 64 734
118 120 429 53 720
129 114 414 71 728
133 106 405 37 681
139 95 431 38 703
118 119 433 86 756
121 128 414 39 702
137 104 410 109 760
110 125 451 86 772
114 127 430 157 828
125 108 426 84 743
128 117 409 104 758
118 120 426 67 731
121 117 425 136 799
119 116 430 93 758
124 109 428 107 768
122 115 418 111 766
132 102 421 44 699
109 126 453 66 754
128 114 422 77 741
124 108 417 28 677
123 116 418 47 704
133 114 404 51 702
128 114 430 46 718
123 122 438 62 745
