GaleShapley FindAllRotations BuildGraph RecursiveSearch Total
89 77 305 56 527
94 76 288 15 473
92 78 296 32 498
89 82 294 50 515
94 73 309 31 507
91 75 295 32 493
96 73 292 48 509
86 85 305 37 513
96 74 286 27 483
95 78 310 21 504
91 76 287 44 498
92 71 316 35 514
83 85 306 32 506
91 77 285 27 480
90 77 297 96 560
95 73 289 33 490
84 82 311 35 512
95 72 290 30 487
87 84 301 46 518
93 77 297 38 505
87 81 319 36 523
90 76 307 29 502
95 75 289 22 481
82 82 308 30 502
85 78 308 32 503
87 82 296 27 492
83 85 314 28 510
81 85 318 46 530
93 74 300 33 500
100 77 308 62 547
103 67 286 22 478
85 83 304 56 528
88 81 295 54 518
86 82 309 38 515
84 85 311 27 507
104 70 282 27 483
90 77 297 34 498
87 81 306 53 527
85 80 307 50 522
84 91 312 49 536
90 79 302 53 524
89 78 307 64 538
86 81 300 37 504
93 78 296 38 505
85 81 306 29 501
87 80 331 50 548
82 86 315 42 525
91 75 297 59 522
93 80 285 22 480
90 76 324 29 519
