GaleShapley FindAllRotations BuildGraph RecursiveSearch Total
68 44 188 28 328
62 48 201 28 339
58 50 199 43 350
61 50 194 11 316
62 49 206 41 358
59 50 204 55 368
58 53 204 25 340
62 49 193 15 319
62 49 201 35 347
64 48 191 15 318
60 51 198 17 326
67 50 189 18 324
74 38 191 15 318
63 46 198 35 342
62 50 202 23 337
56 54 197 29 336
59 50 210 22 341
67 45 194 18 324
60 48 204 15 327
60 50 199 81 390
58 50 206 34 348
56 55 207 25 343
55 57 206 28 346
59 51 206 31 347
67 48 192 22 329
63 54 190 33 340
59 51 224 18 352
60 50 201 28 339
61 49 198 32 340
63 49 201 34 347
57 54 203 23 337
69 44 200 31 344
64 47 199 18 328
59 49 205 23 336
63 50 198 16 327
61 53 197 20 331
59 53 202 30 344
55 54 212 71 392
61 49 211 29 350
65 47 194 13 319
58 53 197 20 328
64 47 196 23 330
67 45 193 30 335
58 50 204 25 337
61 51 200 29 341
57 54 210 21 342
65 53 196 22 336
59 52 207 23 341
67 45 194 39 345
60 55 200 27 342
