GaleShapley FindAllRotations BuildGraph RecursiveSearch Total
9 7 21 6 43
9 7 22 4 42
10 6 21 3 40
10 7 21 5 43
10 7 19 3 39
10 6 21 3 40
9 7 23 3 42
9 7 22 3 41
11 5 21 3 40
9 7 24 4 44
9 7 22 3 41
9 8 22 3 42
10 7 23 3 43
9 8 24 2 43
9 7 22 1 39
9 7 23 4 43
9 7 22 3 41
9 7 21 2 39
9 7 22 2 40
9 6 22 3 40
10 6 21 6 43
9 7 23 3 42
9 7 23 4 43
9 7 23 3 42
9 6 23 5 43
10 7 21 3 41
10 6 22 2 40
9 7 21 3 40
11 6 20 2 39
10 6 22 2 40
9 7 23 4 43
8 8 24 4 44
8 7 24 2 41
9 7 24 7 47
9 7 21 2 39
8 8 24 4 44
10 6 20 3 39
9 7 21 1 38
9 8 23 3 43
10 5 22 4 41
11 5 21 2 39
8 8 22 5 43
9 7 22 5 43
10 6 20 4 40
10 6 21 2 39
11 6 20 3 40
9 7 21 3 40
10 6 23 3 42
9 8 22 4 43
11 5 21 3 40
