GaleShapley FindAllRotations BuildGraph RecursiveSearch Total
19 18 67 20 124
25 12 62 4 103
22 16 61 7 106
19 20 62 6 107
20 18 64 7 109
21 17 61 8 107
22 15 62 6 105
21 16 63 7 107
22 15 63 24 124
21 18 61 13 113
22 15 61 5 103
21 16 62 15 114
22 15 62 5 104
21 16 62 8 107
22 16 65 6 109
22 15 62 5 104
22 15 62 4 103
23 15 58 19 115
21 18 61 13 113
22 16 60 6 104
22 15 63 3 103
22 16 59 12 109
20 18 61 14 113
19 18 67 8 112
23 15 63 7 108
22 16 60 7 105
24 14 61 4 103
22 17 60 5 104
21 16 62 7 106
21 16 62 11 110
22 15 61 8 106
21 17 63 7 108
20 16 64 10 110
23 16 59 9 107
25 13 58 3 99
20 17 66 10 113
20 17 63 9 109
23 15 60 4 102
20 17 62 6 105
24 16 58 9 107
21 16 61 11 109
23 13 61 19 116
22 15 62 8 107
20 17 64 8 109
21 17 61 11 110
22 16 60 4 102
19 19 63 6 107
18 19 65 8 110
21 16 62 5 104
24 14 60 5 103
